prefecture-level city,Prefecture level city code,year,province,Local general public budget expenditures_Ten thousand yuan_Citywide,Education expenditure_Ten thousand yuan_Citywide,education level spending
Tangshan City,130200,2011,Hebei Province,4416812,783039,0.17728602
Tangshan City,130200,2012,Hebei Province,4903141,975527,0.19895961
Tangshan City,130200,2013,Hebei Province,4971792,972513,0.19560613
Tangshan City,130200,2014,Hebei Province,5246569,1089918,0.20773919
Tangshan City,130200,2015,Hebei Province,5922620,1232266,0.20806096
Tangshan City,130200,2016,Hebei Province,6425412,1167144,0.18164501
Tangshan City,130200,2017,Hebei Province,6626323,1337546,0.20185343
Tangshan City,130200,2018,Hebei Province,7492880,1451959,0.19377849
Tangshan City,130200,2019,Hebei Province,7975076,1560263,0.1956424
Tangshan City,130200,2020,Hebei Province,9262511,1657621,0.17896022
Tangshan City,130200,2021,Hebei Province,9214638,1785522,0.19377017
Qinhuangdao City,130300,2003,Hebei Province,304085,57736,0.18986796
Qinhuangdao City,130300,2004,Hebei Province,342841,71529,0.20863607
Qinhuangdao City,130300,2005,Hebei Province,440826,80718,0.18310626
Qinhuangdao City,130300,2006,Hebei Province,554172,92562,0.16702757
Qinhuangdao City,130300,2007,Hebei Province,723444,112702,0.15578538
Qinhuangdao City,130300,2008,Hebei Province,941871,159845,0.16971008
Qinhuangdao City,130300,2009,Hebei Province,1037192,178492,0.17209157
Qinhuangdao City,130300,2010,Hebei Province,1357443,216983,0.15984686
Qinhuangdao City,130300,2011,Hebei Province,1686186,255379,0.15145364
Qinhuangdao City,130300,2012,Hebei Province,1999739,348835,0.17444026
Qinhuangdao City,130300,2013,Hebei Province,2003166,334332,0.16690179
Qinhuangdao City,130300,2014,Hebei Province,2119627,358495,0.16913117
Qinhuangdao City,130300,2015,Hebei Province,2282969,424258,0.18583608
Qinhuangdao City,130300,2016,Hebei Province,2455712,484208,0.19717622
Qinhuangdao City,130300,2017,Hebei Province,2626987,508832,0.19369414
Qinhuangdao City,130300,2018,Hebei Province,2912487,556567,0.19109682
Qinhuangdao City,130300,2019,Hebei Province,3179413,607284,0.19100507
Qinhuangdao City,130300,2020,Hebei Province,3402821,611296,0.17964389
Qinhuangdao City,130300,2021,Hebei Province,3109139,584892,0.18812025
Handan,130400,2003,Hebei Province,483180,113244,0.23437228
Handan,130400,2004,Hebei Province,636700,138929,0.21820166
Handan,130400,2005,Hebei Province,838438,170240,0.20304423
Handan,130400,2006,Hebei Province,1095592,193898,0.17698012
Handan,130400,2007,Hebei Province,1303088,311162,0.23878817
Handan,130400,2008,Hebei Province,1549911,391310,0.25247256
Handan,130400,2009,Hebei Province,1977222,494687,0.25019295
Handan,130400,2010,Hebei Province,2638552,579187,0.21950941
Handan,130400,2011,Hebei Province,3286308,701344,0.21341396
Handan,130400,2012,Hebei Province,3795820,953544,0.25120896
Handan,130400,2013,Hebei Province,3671338,854747,0.23281621
Handan,130400,2014,Hebei Province,4046724,905431,0.22374419
Handan,130400,2015,Hebei Province,5156300,1006026,0.19510618
Handan,130400,2016,Hebei Province,5316404,1066510,0.2006074
Handan,130400,2017,Hebei Province,5470074,1163136,0.21263625
Handan,130400,2018,Hebei Province,6259998,1193602,0.19067131
Handan,130400,2019,Hebei Province,6972080,1358561,0.19485735
Handan,130400,2020,Hebei Province,7892357,1479572,0.18746897
Handan,130400,2021,Hebei Province,7504067,1461664,0.19478291
Xingtai city,130500,2003,Hebei Province,357079,85336,0.23898353
Xingtai city,130500,2004,Hebei Province,411611,97918,0.23788966
Xingtai city,130500,2005,Hebei Province,518765,119773,0.23088103
Xingtai city,130500,2006,Hebei Province,680545,130505,0.19176542
Xingtai city,130500,2007,Hebei Province,833282,200739,0.24090164
Xingtai city,130500,2008,Hebei Province,1097201,263284,0.23995968
Xingtai city,130500,2009,Hebei Province,1326306,313897,0.23667012
Xingtai city,130500,2010,Hebei Province,1723385,360707,0.20930146
Xingtai city,130500,2011,Hebei Province,2146098,502452,0.23412351
Xingtai city,130500,2012,Hebei Province,2502476,573925,0.22934286
Xingtai city,130500,2013,Hebei Province,2591944,546510,0.21084946
Xingtai city,130500,2014,Hebei Province,2946228,564415,0.19157207
Xingtai city,130500,2015,Hebei Province,3736715,764423,0.20457086
Xingtai city,130500,2016,Hebei Province,4093874,824884,0.20149228
Xingtai city,130500,2017,Hebei Province,4185241,897944,0.21455013
Xingtai city,130500,2018,Hebei Province,4948361,974252,0.19688378
Xingtai city,130500,2019,Hebei Province,5504747,1101023,0.20001337
Xingtai city,130500,2020,Hebei Province,6109699,1183504,0.19370905
Xingtai city,130500,2021,Hebei Province,5730361,1087480,0.18977513
Baoding City,130600,2003,Hebei Province,595641,140116,0.23523565
Baoding City,130600,2004,Hebei Province,691413,163088,0.23587639
Baoding City,130600,2005,Hebei Province,861124,185077,0.21492491
Baoding City,130600,2006,Hebei Province,1036614,197862,0.19087336
Baoding City,130600,2007,Hebei Province,1309392,290885,0.22215272
Baoding City,130600,2008,Hebei Province,1662787,395009,0.23755839
Baoding City,130600,2009,Hebei Province,2003560,453761,0.22647737
Baoding City,130600,2010,Hebei Province,2689044,552003,0.20527853
Baoding City,130600,2011,Hebei Province,3326726,658557,0.1979595
Baoding City,130600,2012,Hebei Province,3835725,789651,0.20586747
Baoding City,130600,2013,Hebei Province,4604250,781797,0.16979899
Baoding City,130600,2014,Hebei Province,4575943,870391,0.19021019
Baoding City,130600,2015,Hebei Province,5668009,1221166,0.21544885
Baoding City,130600,2016,Hebei Province,6120552,1307572,0.21363629
Baoding City,130600,2017,Hebei Province,6636722,1445318,0.21777588
Baoding City,130600,2018,Hebei Province,10504715,1654492,0.15749994
Baoding City,130600,2019,Hebei Province,8777475,1860080,0.21191516
Baoding City,130600,2020,Hebei Province,12374040,1915839,0.15482728
Baoding City,130600,2021,Hebei Province,12727093,1931191,0.15173858
Zhangjiakou City,130700,2003,Hebei Province,376778,64814,0.17202172
Zhangjiakou City,130700,2004,Hebei Province,526979,79209,0.1503077
Zhangjiakou City,130700,2005,Hebei Province,586958,89840,0.15306036
Zhangjiakou City,130700,2006,Hebei Province,686134,99741,0.14536665
Zhangjiakou City,130700,2007,Hebei Province,922461,167675,0.1817692
Zhangjiakou City,130700,2008,Hebei Province,1110899,208020,0.18725375
Zhangjiakou City,130700,2009,Hebei Province,1552291,266082,0.17141245
Zhangjiakou City,130700,2010,Hebei Province,1817320,291195,0.1602332
Zhangjiakou City,130700,2011,Hebei Province,2315155,406065,0.1753943
Zhangjiakou City,130700,2012,Hebei Province,2665617,516341,0.19370412
Zhangjiakou City,130700,2013,Hebei Province,2948208,496296,0.16833819
Zhangjiakou City,130700,2014,Hebei Province,3297137,514549,0.15605933
Zhangjiakou City,130700,2015,Hebei Province,3902617,647303,0.16586383
Zhangjiakou City,130700,2016,Hebei Province,4151921,713234,0.1717841
Zhangjiakou City,130700,2017,Hebei Province,4725763,799876,0.16925859
Zhangjiakou City,130700,2018,Hebei Province,5602556,783868,0.13991257
Zhangjiakou City,130700,2019,Hebei Province,6110403,836265,0.13685922
Zhangjiakou City,130700,2020,Hebei Province,6430738,875496,0.13614238
Zhangjiakou City,130700,2021,Hebei Province,5353311,846419,0.15811131
Chengde City,130800,2003,Hebei Province,293053,65980,0.22514699
Chengde City,130800,2004,Hebei Province,378111,79401,0.20999389
Chengde City,130800,2005,Hebei Province,485209,100157,0.20642033
Chengde City,130800,2006,Hebei Province,621812,117139,0.18838331
Chengde City,130800,2007,Hebei Province,760474,186999,0.24589795
Chengde City,130800,2008,Hebei Province,1068293,256691,0.24028146
Chengde City,130800,2009,Hebei Province,1297273,271866,0.2095673
Chengde City,130800,2010,Hebei Province,1559205,299265,0.19193435
Chengde City,130800,2011,Hebei Province,1923582,387977,0.20169507
Chengde City,130800,2012,Hebei Province,2357968,514602,0.2182396
Chengde City,130800,2013,Hebei Province,2617543,528348,0.20184883
Chengde City,130800,2014,Hebei Province,2543206,465273,0.18294743
Chengde City,130800,2015,Hebei Province,2925360,570380,0.19497771
Chengde City,130800,2016,Hebei Province,3037531,607532,0.20000849
Chengde City,130800,2017,Hebei Province,3376382,663827,0.19660897
Chengde City,130800,2018,Hebei Province,3771658,715657,0.18974599
Chengde City,130800,2019,Hebei Province,4218239,787054,0.18658355
Chengde City,130800,2020,Hebei Province,4491623,813262,0.18106195
Chengde City,130800,2021,Hebei Province,4211650,816557,0.19388055
Cangzhou City,130900,2003,Hebei Province,435933,113279,0.25985415
Cangzhou City,130900,2004,Hebei Province,501998,129553,0.25807473
Cangzhou City,130900,2005,Hebei Province,629702,162541,0.25812368
Cangzhou City,130900,2006,Hebei Province,805971,178628,0.2216308
Cangzhou City,130900,2007,Hebei Province,1005753,267382,0.26585255
Cangzhou City,130900,2008,Hebei Province,1249898,376412,0.30115417
Cangzhou City,130900,2009,Hebei Province,1575413,412295,0.26170598
Cangzhou City,130900,2010,Hebei Province,2131343,500502,0.2348294
Cangzhou City,130900,2011,Hebei Province,2643508,543775,0.20570204
Cangzhou City,130900,2012,Hebei Province,3115744,737754,0.23678261
Cangzhou City,130900,2013,Hebei Province,3524113,704699,0.19996493
Cangzhou City,130900,2014,Hebei Province,3812703,752865,0.19746227
Cangzhou City,130900,2015,Hebei Province,4848296,1034550,0.21338425
Cangzhou City,130900,2016,Hebei Province,5048978,1066808,0.21129187
Cangzhou City,130900,2017,Hebei Province,5504803,1220731,0.22175744
Cangzhou City,130900,2018,Hebei Province,6222522,1306344,0.20993803
Cangzhou City,130900,2019,Hebei Province,6863022,1506790,0.21955197
Cangzhou City,130900,2020,Hebei Province,7350504,1557936,0.21194955
Cangzhou City,130900,2021,Hebei Province,6687661,1564740,0.23397418
Langfang City,131000,2003,Hebei Province,327058,81198,0.24826789
Langfang City,131000,2004,Hebei Province,396387,95308,0.24044179
Langfang City,131000,2005,Hebei Province,479809,119977,0.25005158
Langfang City,131000,2006,Hebei Province,607483,129693,0.21349239
Langfang City,131000,2007,Hebei Province,841708,178608,0.2121971
Langfang City,131000,2008,Hebei Province,1065480,252451,0.2369364
Langfang City,131000,2009,Hebei Province,1321476,285204,0.21582231
Langfang City,131000,2010,Hebei Province,1796396,345500,0.19232953
Langfang City,131000,2011,Hebei Province,2279461,434289,0.19052267
Langfang City,131000,2012,Hebei Province,2680378,562429,0.20983197
Langfang City,131000,2013,Hebei Province,2924316,536275,0.18338476
Langfang City,131000,2014,Hebei Province,3025103,538175,0.17790303
Langfang City,131000,2015,Hebei Province,4819446,741790,0.15391603
Langfang City,131000,2016,Hebei Province,5089037,789061,0.15505114
Langfang City,131000,2017,Hebei Province,5827035,969083,0.16630808
Langfang City,131000,2018,Hebei Province,6203506,1079121,0.17395341
Langfang City,131000,2019,Hebei Province,6397682,1237214,0.19338473
Langfang City,131000,2020,Hebei Province,6518910,1243996,0.19082883
Langfang City,131000,2021,Hebei Province,6424899,1259597,0.19604931
Hengshui City,131100,2003,Hebei Province,234638,61380,0.26159446
Hengshui City,131100,2004,Hebei Province,290602,70257,0.24176365
Hengshui City,131100,2005,Hebei Province,392998,88824,0.22601642
Hengshui City,131100,2006,Hebei Province,440563,93685,0.21264836
Hengshui City,131100,2007,Hebei Province,555808,130660,0.23508118
Hengshui City,131100,2008,Hebei Province,667767,157420,0.23574091
Hengshui City,131100,2009,Hebei Province,904115,207498,0.22950399
Hengshui City,131100,2010,Hebei Province,1120991,223366,0.19925762
Hengshui City,131100,2011,Hebei Province,1374187,298178,0.21698502
Hengshui City,131100,2012,Hebei Province,1608095,367478,0.22851759
Hengshui City,131100,2013,Hebei Province,1855649,340791,0.18365057
Hengshui City,131100,2014,Hebei Province,2425747,366318,0.15101245
Hengshui City,131100,2015,Hebei Province,2689296,434484,0.1615605
Hengshui City,131100,2016,Hebei Province,3027787,500467,0.16529135
Hengshui City,131100,2017,Hebei Province,2982886,561044,0.18808764
Hengshui City,131100,2018,Hebei Province,3592082,602075,0.16761171
Hengshui City,131100,2019,Hebei Province,3942764,685082,0.17375679
Hengshui City,131100,2020,Hebei Province,4198530,715851,0.17050039
Hengshui City,131100,2021,Hebei Province,3954105,682848,0.17269344
Taiyuan City,140100,2003,Shanxi Province,427720,59835,0.13989292
Taiyuan City,140100,2004,Shanxi Province,571883,72754,0.12721833
Taiyuan City,140100,2005,Shanxi Province,718390,92774,0.12914155
Taiyuan City,140100,2006,Shanxi Province,954238,121014,0.12681742
Taiyuan City,140100,2007,Shanxi Province,1558029,199543,0.128074
Taiyuan City,140100,2008,Shanxi Province,1528553,259777,0.16994962
Taiyuan City,140100,2009,Shanxi Province,1599051,287394,0.17972785
Taiyuan City,140100,2010,Shanxi Province,1896358,359491,0.18956916
Taiyuan City,140100,2011,Shanxi Province,2393147,447751,0.18709716
Taiyuan City,140100,2012,Shanxi Province,2774437,550372,0.1983725
Taiyuan City,140100,2013,Shanxi Province,3191090,547273,0.17150033
Taiyuan City,140100,2014,Shanxi Province,3226934,527157,0.16336157
Taiyuan City,140100,2015,Shanxi Province,4199913,620878,0.14783116
Taiyuan City,140100,2016,Shanxi Province,4240666,703360,0.16586074
Taiyuan City,140100,2017,Shanxi Province,4790558,730005,0.15238413
Taiyuan City,140100,2018,Shanxi Province,5424589,808097,0.14896926
Taiyuan City,140100,2019,Shanxi Province,6105530,830649,0.13604863
Taiyuan City,140100,2020,Shanxi Province,6473448,915507,0.14142494
Taiyuan City,140100,2021,Shanxi Province,6289857,980932,0.15595458
Datong City,140200,2003,Shanxi Province,308886,59778,0.19352771
Datong City,140200,2004,Shanxi Province,369729,68548,0.18540066
Datong City,140200,2005,Shanxi Province,469007,86972,0.1854386
Datong City,140200,2006,Shanxi Province,567200,107706,0.18989069
Datong City,140200,2007,Shanxi Province,745717,156559,0.20994425
Datong City,140200,2008,Shanxi Province,992903,217698,0.21925405
Datong City,140200,2009,Shanxi Province,1111142,288180,0.25935479
Datong City,140200,2010,Shanxi Province,1327751,332315,0.25028413
Datong City,140200,2011,Shanxi Province,1692081,340009,0.20094133
Datong City,140200,2012,Shanxi Province,1865565,442750,0.23732757
Datong City,140200,2013,Shanxi Province,2340574,399104,0.17051544
Datong City,140200,2014,Shanxi Province,2217880,386969,0.17447698
Datong City,140200,2015,Shanxi Province,2908030,561838,0.19320227
Datong City,140200,2016,Shanxi Province,2858886,542410,0.18972775
Datong City,140200,2017,Shanxi Province,3255052,540778,0.16613498
Datong City,140200,2018,Shanxi Province,3339906,518619,0.15527952
Datong City,140200,2019,Shanxi Province,3633627,541117,0.14891925
Datong City,140200,2020,Shanxi Province,3881752,547670,0.14108835
Datong City,140200,2021,Shanxi Province,3741810,541720,0.14477485
Yangquan City,140300,2003,Shanxi Province,125779,25871,0.20568616
Yangquan City,140300,2004,Shanxi Province,158910,31185,0.19624316
Yangquan City,140300,2005,Shanxi Province,200500,38902,0.19402494
Yangquan City,140300,2006,Shanxi Province,256241,48250,0.1882993
Yangquan City,140300,2007,Shanxi Province,335191,71346,0.21285178
Yangquan City,140300,2008,Shanxi Province,406374,85379,0.21009956
Yangquan City,140300,2009,Shanxi Province,489685,104870,0.21415808
Yangquan City,140300,2010,Shanxi Province,595962,117341,0.19689343
Yangquan City,140300,2011,Shanxi Province,710382,154791,0.21789826
Yangquan City,140300,2012,Shanxi Province,885491,218927,0.24723797
Yangquan City,140300,2013,Shanxi Province,863573,188771,0.21859299
Yangquan City,140300,2014,Shanxi Province,869075,192937,0.2220027
Yangquan City,140300,2015,Shanxi Province,1007101,213056,0.21155376
Yangquan City,140300,2016,Shanxi Province,957303,205350,0.21450889
Yangquan City,140300,2017,Shanxi Province,1060561,214920,0.20264747
Yangquan City,140300,2018,Shanxi Province,1239346,200048,0.16141417
Yangquan City,140300,2019,Shanxi Province,1322650,210066,0.15882206
Yangquan City,140300,2020,Shanxi Province,1546127,211198,0.13659809
Yangquan City,140300,2021,Shanxi Province,1278901,210835,0.16485639
Changzhi City,140400,2003,Shanxi Province,276348,58260,0.21082114
Changzhi City,140400,2004,Shanxi Province,347541,69537,0.20008287
Changzhi City,140400,2005,Shanxi Province,473992,92888,0.19596955
Changzhi City,140400,2006,Shanxi Province,697979,106729,0.15291148
Changzhi City,140400,2007,Shanxi Province,788398,183707,0.23301302
Changzhi City,140400,2008,Shanxi Province,971493,199651,0.20550946
Changzhi City,140400,2009,Shanxi Province,1126539,239046,0.21219505
Changzhi City,140400,2010,Shanxi Province,1358657,280415,0.20639131
Changzhi City,140400,2011,Shanxi Province,1760325,328537,0.18663429
Changzhi City,140400,2012,Shanxi Province,2018280,444722,0.22034703
Changzhi City,140400,2013,Shanxi Province,2458799,411983,0.16755457
Changzhi City,140400,2014,Shanxi Province,2440202,392001,0.16064285
Changzhi City,140400,2015,Shanxi Province,2415636,457758,0.18949792
Changzhi City,140400,2016,Shanxi Province,2343437,452597,0.19313385
Changzhi City,140400,2017,Shanxi Province,2684289,478483,0.17825316
Changzhi City,140400,2018,Shanxi Province,3237265,541830,0.16737277
Changzhi City,140400,2019,Shanxi Province,3545092,537016,0.15148154
Changzhi City,140400,2020,Shanxi Province,3960786,553370,0.13971217
Changzhi City,140400,2021,Shanxi Province,3881466,560432,0.14438668
Jincheng City,140500,2003,Shanxi Province,192517,44388,0.23056665
Jincheng City,140500,2004,Shanxi Province,233725,50278,0.21511606
Jincheng City,140500,2005,Shanxi Province,313156,68704,0.21939225
Jincheng City,140500,2006,Shanxi Province,392330,74705,0.19041368
Jincheng City,140500,2007,Shanxi Province,540495,108766,0.20123405
Jincheng City,140500,2008,Shanxi Province,632928,133035,0.21018978
Jincheng City,140500,2009,Shanxi Province,764896,163171,0.21332443
Jincheng City,140500,2010,Shanxi Province,895069,188874,0.21101613
Jincheng City,140500,2011,Shanxi Province,1132373,238221,0.21037326
Jincheng City,140500,2012,Shanxi Province,1298261,301484,0.23222141
Jincheng City,140500,2013,Shanxi Province,1573164,311163,0.19779438
Jincheng City,140500,2014,Shanxi Province,1617219,322069,0.1991499
Jincheng City,140500,2015,Shanxi Province,1801145,372241,0.20666909
Jincheng City,140500,2016,Shanxi Province,1725079,336436,0.19502643
Jincheng City,140500,2017,Shanxi Province,1784121,337864,0.18937281
Jincheng City,140500,2018,Shanxi Province,2284586,354831,0.15531523
Jincheng City,140500,2019,Shanxi Province,2525199,375418,0.14866868
Jincheng City,140500,2020,Shanxi Province,2840023,396119,0.13947739
Jincheng City,140500,2021,Shanxi Province,2921296,416820,0.14268325
Shuozhou City,140600,2003,Shanxi Province,113081,33630,0.29739744
Shuozhou City,140600,2004,Shanxi Province,158977,31394,0.19747511
Shuozhou City,140600,2005,Shanxi Province,203434,44309,0.21780528
Shuozhou City,140600,2006,Shanxi Province,374223,56082,0.14986252
Shuozhou City,140600,2007,Shanxi Province,441174,90212,0.20448168
Shuozhou City,140600,2008,Shanxi Province,605317,127123,0.21001062
Shuozhou City,140600,2009,Shanxi Province,721488,138410,0.19183964
Shuozhou City,140600,2010,Shanxi Province,901318,160290,0.17783956
Shuozhou City,140600,2011,Shanxi Province,1154207,203036,0.17590952
Shuozhou City,140600,2012,Shanxi Province,1387506,297409,0.2143479
Shuozhou City,140600,2013,Shanxi Province,1544659,271039,0.1754685
Shuozhou City,140600,2014,Shanxi Province,1430634,232389,0.16243777
Shuozhou City,140600,2015,Shanxi Province,1382931,260394,0.18829139
Shuozhou City,140600,2016,Shanxi Province,1276607,240244,0.18818947
Shuozhou City,140600,2017,Shanxi Province,1417217,233470,0.16473836
Shuozhou City,140600,2018,Shanxi Province,1738833,268857,0.15461922
Shuozhou City,140600,2019,Shanxi Province,1929168,272249,0.14112249
Shuozhou City,140600,2020,Shanxi Province,1982824,287790,0.14514147
Shuozhou City,140600,2021,Shanxi Province,2074132,281125,0.13553863
Jinzhong City,140700,2003,Shanxi Province,242556,50920,0.2099309
Jinzhong City,140700,2004,Shanxi Province,305000,58251,0.19098689
Jinzhong City,140700,2005,Shanxi Province,394496,77372,0.19612873
Jinzhong City,140700,2006,Shanxi Province,664054,91522,0.13782313
Jinzhong City,140700,2007,Shanxi Province,721064,125159,0.17357544
Jinzhong City,140700,2008,Shanxi Province,856795,165629,0.19331229
Jinzhong City,140700,2009,Shanxi Province,1030873,204272,0.19815438
Jinzhong City,140700,2010,Shanxi Province,1205394,232362,0.19276851
Jinzhong City,140700,2011,Shanxi Province,1541989,321083,0.20822652
Jinzhong City,140700,2012,Shanxi Province,1787371,394881,0.22092839
Jinzhong City,140700,2013,Shanxi Province,2136333,447918,0.20966675
Jinzhong City,140700,2014,Shanxi Province,2168543,411080,0.18956507
Jinzhong City,140700,2015,Shanxi Province,2411647,520349,0.21576499
Jinzhong City,140700,2016,Shanxi Province,2471699,459275,0.18581348
Jinzhong City,140700,2017,Shanxi Province,2789231,488690,0.175206
Jinzhong City,140700,2018,Shanxi Province,3226368,530385,0.16439073
Jinzhong City,140700,2019,Shanxi Province,3710587,538654,0.14516679
Jinzhong City,140700,2020,Shanxi Province,4001461,587806,0.14689785
Jinzhong City,140700,2021,Shanxi Province,3668171,596925,0.16273096
Yuncheng City,140800,2003,Shanxi Province,279212,64314,0.2303411
Yuncheng City,140800,2004,Shanxi Province,370836,76856,0.20725064
Yuncheng City,140800,2005,Shanxi Province,435702,88692,0.20356115
Yuncheng City,140800,2006,Shanxi Province,545866,110258,0.2019873
Yuncheng City,140800,2007,Shanxi Province,722472,164213,0.22729324
Yuncheng City,140800,2008,Shanxi Province,930775,223268,0.23987322
Yuncheng City,140800,2009,Shanxi Province,1035827,238811,0.23055105
Yuncheng City,140800,2010,Shanxi Province,1344544,282558,0.21015155
Yuncheng City,140800,2011,Shanxi Province,1655377,379265,0.22911095
Yuncheng City,140800,2012,Shanxi Province,1926396,405658,0.21057872
Yuncheng City,140800,2013,Shanxi Province,2291650,519338,0.22662187
Yuncheng City,140800,2014,Shanxi Province,2387663,517383,0.21669013
Yuncheng City,140800,2015,Shanxi Province,2769475,594444,0.2146414
Yuncheng City,140800,2016,Shanxi Province,2878358,585159,0.20329612
Yuncheng City,140800,2017,Shanxi Province,3030131,599606,0.19788121
Yuncheng City,140800,2018,Shanxi Province,3378723,617829,0.18285873
Yuncheng City,140800,2019,Shanxi Province,3741868,674644,0.18029604
Yuncheng City,140800,2020,Shanxi Province,4176614,688774,0.16491206
Yuncheng City,140800,2021,Shanxi Province,3988230,695916,0.17449244
Xinzhou City,140900,2003,Shanxi Province,247672,55935,0.22584305
Xinzhou City,140900,2004,Shanxi Province,307816,64262,0.20876758
Xinzhou City,140900,2005,Shanxi Province,374507,72817,0.19443428
Xinzhou City,140900,2006,Shanxi Province,482025,90677,0.1881168
Xinzhou City,140900,2007,Shanxi Province,659877,133523,0.20234529
Xinzhou City,140900,2008,Shanxi Province,849595,162228,0.19094745
Xinzhou City,140900,2009,Shanxi Province,1020222,209868,0.20570817
Xinzhou City,140900,2010,Shanxi Province,1285794,249340,0.19391909
Xinzhou City,140900,2011,Shanxi Province,1522113,328370,0.215733
Xinzhou City,140900,2012,Shanxi Province,1815286,435735,0.24003656
Xinzhou City,140900,2013,Shanxi Province,2131680,453730,0.2128509
Xinzhou City,140900,2014,Shanxi Province,2139521,369184,0.17255451
Xinzhou City,140900,2015,Shanxi Province,2420102,421544,0.17418439
Xinzhou City,140900,2016,Shanxi Province,2475508,444686,0.17963424
Xinzhou City,140900,2017,Shanxi Province,2906549,471097,0.16208122
